ID,Long30m,Lat30m,Hwy_Roads,Major_Roads,Res_Roads,Local_Trucks,Local_Restricted_Trucks,Commerical Zone,Industrial Zone,Residential Zone,NDVI_50,NLCD_Water_50,NLCD_DevOpen_50,NLCD_DevLow_50,NLCD_DevMed_50,NLCD_DevHigh_50,NLCD_Barren_50,NLCD_Deciduous_50,NLCD_Evergreen_50,NLCD_MixForest_50,NLCD_Shrub_50,NLCD_Herbaceous_50,NLCD_Pasture_50,NLCD_Crops_50,NLCD_WoodyWet_50,NLCD_EmergWet_50,Impervious_50,Distance_to_NPL,Distance_to_Rail,Elevation_50,Distance_to_TRI,Total_Road_50,Hwy_Road_50,Maj_Road_50,Res_Road_50,Pop_50,MinDist2Port,MinDist2MainPort,Dist2MainAirport,Dist2Airport
26015,-122.22402,37.79975,1,0,0,0,1,0,0,1,0.13387,0,0,0,61.6129,38.3871,0,0,0,0,0,0,0,0,0,0,75.49677,0.00053,0.00044,58.34595,0.00032,195.37437,0,0,205.24483,67.79899,0.35457,0.12654,0.15154,0.15154
26016,-122.224,37.77667,0,0,1,0,0,1,0,0,0.05316,0,0,0,25.64103,74.35897,0,0,0,0,0,0,0,0,0,0,82.46154,0.00048,0.00296,12.9283,0.00121,249.97582,0,199.78949,46.92018,67.79899,0.84711,0.11104,0.24788,0.24788
26017,-122.22399,37.77764,0,0,1,0,0,1,0,0,0.06935,0,0,0,24.52229,75.47771,0,0,0,0,0,0,0,0,0,0,85.3758,0.00049,0.00238,14.26174,0.00111,129.29696,0,95.90892,25.23472,79.53013,0.8113,0.11175,0.24144,0.24144
26018,-122.22395,37.78138,0,0,1,1,0,0,0,1,0.10952,0,0,0,62.42038,37.57962,0,0,0,0,0,0,0,0,0,0,78.30255,0.0005,0.00136,19.03386,0.00081,147.4277,0,0,145.29165,67.79899,0.67088,0.11447,0.21944,0.21944
26019,-122.22395,37.77191,1,0,0,1,0,1,0,0,0.06116,0,0,0,35.16129,64.83871,0,0,0,0,0,0,0,0,0,0,82.2871,0.00047,0.01692,7.53935,0.002,212.35296,0,0,220.73339,67.79899,0.98516,0.10742,0.28525,0.28525
26020,-122.22393,37.78142,0,0,1,1,0,0,0,1,0.11262,0,0,0,66.56051,33.43949,0,0,0,0,0,0,0,0,0,0,77.86943,0.0005,0.00135,19.08706,0.00081,194.79744,201.26139,0,0,0,0.66865,0.11448,0.2192,0.2192
26023,-122.22385,37.77149,1,0,0,0,0,1,0,0,0.08245,0,0,0,50.32468,49.67532,0,0,0,0,0,0,0,0,0,0,78.30519,0.00047,0.01127,6.76857,0.00213,209.66653,0,207.38887,15.70626,67.79899,1.0328,0.10703,0.28911,0.28911
26025,-122.22384,37.7767,0,0,1,0,0,1,0,0,0.05329,0,0,0,23.71795,76.28205,0,0,0,0,0,0,0,0,0,0,83.58013,0.00048,0.00286,13.03842,0.00122,146.1846,0,83.23888,49.34399,0.45369,0.83664,0.11091,0.24771,0.24771
26027,-122.22379,37.7719,1,0,0,1,0,1,0,0,0.05908,0,0,0,34.40514,65.59486,0,0,0,0,0,0,0,0,0,0,82.67846,0.00047,0.0197,7.62177,0.00197,281.981,255.38096,0,8.23299,29.44029,0.98744,0.10729,0.2854,0.2854
26028,-122.22378,37.7716,1,0,0,1,0,1,0,0,0.07452,0,0,0,45.12987,54.87013,0,0,0,0,0,0,0,0,0,0,79.77597,0.00047,0.01325,7.03501,0.00208,165.62015,0,0,163.46495,67.79899,1.02152,0.10705,0.28819,0.28819
26029,-122.22377,37.79995,1,0,0,0,1,0,0,1,0.15507,0,0,0,63.46154,36.53846,0,0,0,0,0,0,0,0,0,0,70.05449,0.00053,0.00043,58.12436,0.00032,393.46418,340.30268,0,47.7759,16.12144,0.35073,0.12631,0.15104,0.15104
26031,-122.22375,37.77686,0,0,1,0,0,1,0,0,0.05237,0,0,0,23.30097,76.69903,0,0,0,0,0,0,0,0,0,0,85.87055,0.00048,0.00272,13.24824,0.00121,265.69566,252.23654,0,0,28.87895,0.82667,0.11095,0.24664,0.24664
26032,-122.22371,37.77653,0,1,0,0,0,1,0,0,0.06045,0,0,0,23.54839,76.45161,0,0,0,0,0,0,0,0,0,0,83.6,0.00048,0.00292,12.89986,0.00125,194.79727,203.15071,0,0,0,0.83545,0.11067,0.24891,0.24891
26034,-122.22369,37.79972,1,0,0,0,1,0,0,1,0.14622,0,0,0,60.96774,39.03226,0,0,0,0,0,0,0,0,0,0,72.30645,0.00053,0.00044,58.51262,0.00032,117.26343,0,0,119.85665,67.79899,0.35272,0.12609,0.15162,0.15162
26035,-122.22368,37.7997,1,0,0,0,1,0,0,1,0.14464,0,0,0,61.41479,38.58521,0,0,0,0,0,0,0,0,0,0,72.41158,0.00053,0.00044,58.52739,0.00032,230.52602,0,246.96617,0,67.79899,0.35292,0.12606,0.15168,0.15168
